date,open,high,low,close,volume
2012-01-03,14.621,14.732,14.607,14.687,302220800
2012-01-04,14.643,14.81,14.617,14.766,260022000
2012-01-05,14.82,14.948,14.738,14.93,271269600
2012-01-06,14.992,15.098,14.972,15.086,318292800
2012-01-09,15.196,15.277,15.048,15.062,394024400
2012-01-10,15.211,15.214,15.054,15.116,258196400
2012-01-11,15.096,15.102,14.975,15.091,215084800
2012-01-12,15.081,15.104,14.955,15.05,212587200
2012-01-13,14.989,15.016,14.952,14.993,226021600
2012-01-17,15.15,15.214,15.106,15.168,242897200
2012-01-18,15.249,15.338,15.225,15.325,276791200
2012-01-19,15.363,15.406,15.233,15.277,261738400
2012-01-20,15.267,15.268,14.991,15.011,413974400
2012-01-23,15.095,15.302,15.082,15.265,306062400
2012-01-24,15.182,15.182,14.984,15.015,547638000
2012-01-25,16.23,16.23,15.847,15.952,958314000
2012-01-26,16.013,16.028,15.826,15.88,323985200
2012-01-27,15.869,16.017,15.849,15.974,299709200
2012-01-30,15.918,16.211,15.907,16.179,379341200
2012-01-31,16.271,16.366,16.181,16.303,391683600
2012-02-01,16.372,16.392,16.27,16.292,270046000
2012-02-02,16.282,16.327,16.214,16.254,186796400
2012-02-03,16.332,16.429,16.27,16.417,286599600
2012-02-06,16.371,16.606,16.364,16.57,249412800
2012-02-07,16.616,16.777,16.592,16.744,316223600
2012-02-08,16.804,17.028,16.775,17.024,407890000
2012-02-09,17.17,17.741,17.163,17.613,884214800
2012-02-10,17.534,17.772,17.448,17.622,631302000
2012-02-13,17.84,17.994,17.753,17.95,517216000
2012-02-14,18.024,18.199,17.929,18.195,460398400
2012-02-15,18.366,18.796,17.746,17.774,1506120000
2012-02-16,17.554,18.032,17.38,17.936,944552000
2012-02-17,17.968,18.135,17.868,17.933,535805200
2012-02-21,18.103,18.388,18.004,18.388,605595200
2012-02-22,18.324,18.41,18.181,18.323,483302400
2012-02-23,18.396,18.494,18.196,18.442,568027600
2012-02-24,18.56,18.675,18.523,18.657,415072000
2012-02-27,18.618,18.875,18.439,18.777,547582000
2012-02-28,18.856,19.122,18.78,19.122,600387200
2012-02-29,19.341,19.558,19.132,19.373,952011200
2012-03-01,19.577,19.579,19.242,19.445,683270000
2012-03-02,19.437,19.529,19.376,19.471,431712400
2012-03-05,19.479,19.553,18.786,19.041,809124400
2012-03-06,18.702,19.06,18.436,18.938,810238800
2012-03-07,19.171,19.206,18.689,18.953,798520800
2012-03-08,19.096,19.392,19.004,19.357,516457200
2012-03-09,19.436,19.562,19.397,19.47,418919200
2012-03-12,19.606,19.714,19.536,19.714,407282400
2012-03-13,19.912,20.292,19.848,20.289,690855200
2012-03-14,20.645,21.24,20.55,21.056,1418844000
2012-03-15,21.415,21.429,20.663,20.913,1159718000
2012-03-16,20.883,21.043,20.643,20.913,825487600
2012-03-19,21.37,21.492,21.038,21.468,901236000
2012-03-20,21.411,21.675,21.124,21.641,816662000
2012-03-21,21.526,21.773,21.479,21.518,644042000
2012-03-22,21.349,21.589,21.269,21.405,623870800
2012-03-23,21.446,21.493,21.229,21.288,430488800
2012-03-26,21.421,21.684,21.259,21.678,595742000
2012-03-27,21.649,22.01,21.645,21.946,607129600
2012-03-28,22.085,22.195,21.797,22.058,655460400
2012-03-29,21.885,22.02,21.687,21.781,608238400
2012-03-30,21.742,21.806,21.355,21.413,731038000
2012-04-02,21.494,22.099,21.442,22.094,598351600
2012-04-03,22.404,22.579,22.233,22.476,834559600
2012-04-04,22.298,22.352,22.036,22.297,572980800
2012-04-05,22.392,22.666,22.264,22.631,641298000
2012-04-09,22.362,22.851,22.332,22.722,597536800
2012-04-10,22.855,23,22.357,22.444,889725200
2012-04-11,22.721,22.745,22.262,22.364,696614800
2012-04-12,22.321,22.548,22.161,22.242,614336800
2012-04-13,22.29,22.311,21.554,21.615,859644800
2012-04-16,21.788,21.796,20.652,20.719,1050786800
2012-04-17,20.676,21.786,20.425,21.775,1025528000
2012-04-18,21.919,22.152,21.525,21.726,954531200
2012-04-19,21.436,21.597,20.876,20.98,834719200
2012-04-20,21.121,21.236,20.372,20.464,1030985200
2012-04-23,20.379,20.595,19.879,20.418,966529200
2012-04-24,20.093,20.275,19.821,20.01,1076149200
2012-04-25,21.987,22.071,21.643,21.786,905777600
2012-04-26,21.938,21.953,21.505,21.704,536068400
2012-04-27,21.61,21.649,21.446,21.536,406722400
2012-04-30,21.35,21.371,20.821,20.856,506144800
2012-05-01,20.889,21.313,20.758,20.79,610999200
2012-05-02,20.723,20.979,20.674,20.928,427389200
2012-05-03,21.089,21.121,20.725,20.779,390549600
2012-05-04,20.61,20.656,20.185,20.188,529992400
2012-05-07,20.054,20.456,20.044,20.339,460118400
2012-05-08,20.342,20.411,19.955,20.292,497252000
2012-05-09,20.132,20.499,20.03,20.328,480704000
2012-05-10,20.521,20.567,20.301,20.376,333200000
2012-05-11,20.179,20.517,20.155,20.24,399546000
2012-05-14,20.092,20.268,19.914,19.936,352626400
