date,open,high,low,close,volume
2019-01-02,98.57,99.56,98.34,99.18,506300
2019-01-03,96.73,96.83,95.45,95.46,807800
2019-01-04,97.34,99.2,96.91,98.74,1038100
2019-01-07,99.44,100.19,98.76,99.71,861600
2019-01-08,101.37,101.48,100.43,101.27,548600
2019-01-09,102.78,103.17,102.29,102.65,516400
2019-01-10,102.55,103.41,102.08,103.34,663800
2019-01-11,102.2,102.44,101.58,101.98,576900
2019-01-14,100.65,101.53,100.65,101.11,629000
2019-01-15,100.85,102.5,100.85,102.43,443100
2019-01-16,101.73,102.59,101.71,102.25,442500
2019-01-17,102.37,103.93,102.3,103.63,338000
2019-01-18,105.24,106.13,104.62,105.74,484400
2019-01-22,103.51,103.83,102.89,103.33,680400
2019-01-23,104.77,104.99,103.66,104.1,539100
2019-01-24,105.56,105.61,104.72,105.4,1999100
2019-01-25,106.5,106.54,105.59,106.01,1036500
2019-01-28,105.9,108.31,105.4,106.94,2299600
2019-01-29,103.37,103.89,102.15,102.69,2048500
2019-01-30,101.96,103.15,100.97,102.52,1275500
2019-01-31,102.47,103.75,102.31,103.42,1027200
2019-02-01,103.82,104.56,103.48,103.95,566200
2019-02-04,103.19,104.29,102.93,104.21,564900
2019-02-05,105.84,106.38,105.6,106.27,709500
2019-02-06,106.08,106.17,105.22,105.27,349900
2019-02-07,103.89,104.19,102.9,103.46,659600
2019-02-08,103.91,104.44,103.53,104.03,724500
2019-02-11,104.3,104.52,103.69,104.09,636500
2019-02-12,104.53,105.05,104.28,104.63,794300
2019-02-13,105.32,106.23,105.24,105.26,385100
2019-02-14,105.69,106.29,105.26,105.94,494900
2019-02-15,106.75,106.85,105.85,106.82,328800
2019-02-19,106.06,106.97,106.06,106.74,292700
2019-02-20,106.58,107.36,106.58,106.86,730400
2019-02-21,107.2,107.58,106.81,106.98,298400
2019-02-22,108.08,108.48,107.94,108.32,337100
2019-02-25,107.72,108.07,107.24,107.33,408200
2019-02-26,106.54,107.63,106.48,107.57,327300
2019-02-27,106.71,107.08,106.24,107.01,471400
2019-02-28,107.04,107.32,106.73,107.13,543300
2019-03-01,108,108.58,107.72,108.38,473400
2019-03-04,108,108.04,106.61,107.32,404200
2019-03-05,107.62,108.26,107.31,107.97,269400
2019-03-06,108.26,108.28,107.45,107.59,270100
2019-03-07,107.43,107.47,106.11,106.35,306400
2019-03-08,106.77,108.05,106.69,107.97,537200
2019-03-11,106.66,107.92,106.66,107.72,476000
2019-03-12,107.36,108.26,107.27,108.01,410300
2019-03-13,108.52,109.29,108.47,108.86,472400
2019-03-14,109.33,109.74,108.91,109.52,394200
2019-03-15,111.64,112.77,111.62,112.49,769100
2019-03-18,111.99,112.34,111.53,112.14,429600
2019-03-19,113.33,113.74,112.98,113.44,506100
2019-03-20,113.79,114.91,113.39,114.53,679600
2019-03-21,113.31,114.5,113.24,114.43,385000
2019-03-22,112.67,113.11,111.09,111.72,780000
2019-03-25,111.41,111.92,111.06,111.6,437200
2019-03-26,113.07,113.97,112.87,113.93,1123000
2019-03-27,113.69,114.01,112.65,113.56,1172700
2019-03-28,114.32,114.59,113.58,114.21,1867900
2019-03-29,116.08,116.15,115.12,115.46,1325700
2019-04-01,115.77,115.95,115.39,115.82,973200
2019-04-02,115.67,115.91,115.3,115.81,582000
2019-04-03,116.67,116.99,116.4,116.43,688800
2019-04-04,117.24,117.36,115.76,115.95,1130800
2019-04-05,114.5,115.04,114.47,114.61,686600
2019-04-08,114.37,114.95,113.77,114.93,868500
2019-04-09,111.4,111.48,110.28,110.37,1094500
2019-04-10,111.93,112.39,111.61,112.27,834100
2019-04-11,112.18,112.39,111.85,112.33,508100
2019-04-12,112.66,112.66,112.18,112.32,354100
2019-04-15,112.26,113.12,112.22,112.8,638000
2019-04-16,112.22,112.25,111.1,111.2,1081400
2019-04-17,112.8,112.8,112.01,112.31,881000
2019-04-18,112.8,113.35,112.48,112.97,485500
2019-04-22,112.65,114,112.65,113.79,418100
2019-04-23,113.54,114.9,113.52,114.8,770700
